,FieldName,DataType,Min,Max,Mean,StdDev,Median,Mode,NumValues,NumNulls,NumUnique,AutoCorr,FFT,Distrib
phih.1,phih.1,float64,-90.0,87.0,-2.6956521739130435,53.198934185427746,-2.0,-78.0,421,352,56,,11.694444444444443,{}
sea_surface_temperature.1,sea_surface_temperature.1,float64,293.4859,293.8951,293.7645050119331,0.08677787211987233,293.7731,293.7572,421,2,369,0.997876555276556,inf,{}
sea_surface_temperature_qc.1,sea_surface_temperature_qc.1,int64,-9,0,-0.04275534441805225,0.6195820476826737,0.0,0,421,0,2,-0.004784688995215294,inf,"{0: 0.995249406175772, -9: 0.004750593824228029}"
sea_surface_temperature_detail_qc.1,sea_surface_temperature_detail_qc.1,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.995249406175772, '_': 0.004750593824228029}"
sea_surface_temperature_release.1,sea_surface_temperature_release.1,int64,-9,1,0.9524940617577197,0.688424497425193,1.0,1,421,0,2,-0.00478468899521529,inf,"{1: 0.995249406175772, -9: 0.004750593824228029}"
latitude.5,latitude.5,float64,34.7422,34.752,34.746543333333335,0.002498998049020289,34.746,34.7448,421,1,51,0.9969171587065052,inf,{}
latitude_qc.5,latitude_qc.5,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
latitude_detail_qc.5,latitude_detail_qc.5,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
latitude_release.5,latitude_release.5,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
longitude.5,longitude.5,float64,-72.2892,-72.2799,-72.28314476190477,0.00255200724789148,-72.2828,-72.2841,421,1,48,0.9976088923360562,inf,{}
longitude_qc.5,longitude_qc.5,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
longitude_detail_qc.5,longitude_detail_qc.5,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
longitude_release.5,longitude_release.5,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
